id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,4.1,651,36.0,0.4,280,36.0,0.0,499.0,78.0,0,0,0.0,-4,4.0,143,394,0.0,0.0,1.0,1.0,0.0,635.0,85.0,,,625.0,85.0,617.0,73.0,590.0,60.0,627.0,85.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Joe,Gauci,Gauci,u,Has joined Port Vale on loan for the rest of the season.,,4.0,685,53.0,0.1,497,75.0,0.0,452.0,66.0,0,0,0.0,0,0.0,0,75,0.0,0.0,0.0,0.0,0.0,594.0,73.0,0.0,0.0,584.0,73.0,575.0,60.0,546.0,47.0,586.0,73.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Leander,Dendoncker,Dendoncker,u,Has joined Real Oviedo permanently.,,4.5,410,250.0,0.1,533,193.0,0.0,594.0,207.0,0,0,0.0,0,0.0,0,30,0.0,0.0,0.0,0.0,0.0,691.0,270.0,0.0,0.0,685.0,264.0,679.0,267.0,660.0,259.0,687.0,266.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Darko,Churlinov,Churlinov,u,has joined Kocaelispor  permanently.,,4.9,319,199.0,0.0,728,302.0,0.0,716.0,298.0,0,0,0.0,-1,1.0,0,2,0.0,0.0,0.0,0.0,0.0,772.0,333.0,0.0,0.0,771.0,332.0,767.0,332.0,763.0,330.0,771.0,332.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,Zeki,Amdouni,Amdouni,i,Knee injury - Expected back 11 Apr,,4.8,369,63.0,0.0,671,85.0,0.0,695.0,71.0,0,0,0.0,-2,2.0,93,49,0.0,0.0,0.0,0.0,0.0,764.0,84.0,0.0,0.0,763.0,84.0,758.0,83.0,753.0,83.0,763.0,84.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
784,George,Brierley,Brierley,a,,,4.5,516,320.0,0.0,800,354.0,0.0,677.0,271.0,0,0,0.0,0,0.0,26,30,0.0,0.0,-0.5,-0.5,0.0,758.0,324.0,,,757.0,323.0,751.0,323.0,739.0,320.0,757.0,323.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
803,Teddy,Sharman-Lowe,Sharman-Lowe,a,,,4.0,700,59.0,0.0,788,90.0,0.0,466.0,72.0,0,0,0.0,0,0.0,23,14,0.0,0.0,0.5,0.5,0.0,606.0,79.0,,,596.0,79.0,587.0,66.0,558.0,53.0,598.0,79.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789,Max,Merrick,Merrick,a,,,4.0,707,63.0,0.0,765,89.0,0.0,470.0,75.0,0,0,0.0,0,0.0,19,28,0.0,0.0,0.5,0.5,0.0,610.0,82.0,,,600.0,82.0,592.0,70.0,563.0,57.0,602.0,82.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,Lucas Estella,Perri,Perri,a,,,4.5,417,22.0,0.2,352,50.0,0.0,598.0,90.0,0,0,0.0,0,0.0,295,908,0.0,9.6,0.0,0.0,2.7,230.0,23.0,100.0,100.0,178.0,20.0,682.0,85.0,663.0,75.0,326.0,20.0,,,,,,,,0.0,0.0,0.0,1.67,2.38,0.19,1.81,1.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,1185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788,Godwill,Kukonki,Kukonki,a,,,4.0,718,194.0,0.0,740,255.0,0.0,481.0,197.0,0,0,0.0,0,0.0,26,45,0.0,0.0,0.5,0.5,0.0,619.0,233.0,,,609.0,233.0,601.0,233.0,573.0,230.0,611.0,233.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
